SL_pct,TP_pct,SL_label,TP_label,all_n,all_win_pct,all_total_pnl,all_avg_pnl,all_pred_acc,all_sl_hits,all_tp_hits,all_time_exits,bear_n,bear_win_pct,bear_total_pnl,bear_avg_pnl,bear_pred_acc,bear_sl_hits,bear_tp_hits,bear_time_exits,bull_n,bull_win_pct,bull_total_pnl,bull_avg_pnl,bull_pred_acc,bull_sl_hits,bull_tp_hits,bull_time_exits
0.3,0.1,30%,10%,162,75.93,13932.0,86.0,61.73,32,121,9,71,81.69,12129.0,170.8,60.56,10,57,4,91,71.43,1803.0,19.8,62.64,22,64,5
0.3,0.15,30%,15%,162,72.22,38479.0,237.5,61.73,33,112,17,71,78.87,27978.0,394.0,60.56,10,55,6,91,67.03,10501.0,115.4,62.64,23,57,11
0.3,0.2,30%,20%,162,69.14,65372.0,403.5,61.73,34,105,23,71,76.06,40571.0,571.4,60.56,11,52,8,91,63.74,24801.0,272.5,62.64,23,53,15
0.3,0.25,30%,25%,162,65.43,69769.0,430.7,61.73,35,88,39,71,71.83,45167.0,636.2,60.56,11,44,16,91,60.44,24602.0,270.4,62.64,24,44,23
0.3,0.3,30%,30%,162,61.11,67884.0,419.0,61.73,37,70,55,71,64.79,46155.0,650.1,60.56,12,35,24,91,58.24,21729.0,238.8,62.64,25,35,31
0.3,0.35,30%,35%,162,61.11,88781.0,548.0,61.73,37,67,58,71,64.79,56590.0,797.0,60.56,12,33,26,91,58.24,32191.0,353.8,62.64,25,34,32
0.3,0.4,30%,40%,162,61.11,105303.0,650.0,61.73,37,62,63,71,64.79,66391.0,935.1,60.56,12,32,27,91,58.24,38912.0,427.6,62.64,25,30,36
0.35,0.1,35%,10%,162,79.63,24546.0,151.5,61.73,20,127,15,71,84.51,14209.0,200.1,60.56,8,59,4,91,75.82,10337.0,113.6,62.64,12,68,11
0.35,0.15,35%,15%,162,74.07,43054.0,265.8,61.73,21,115,26,71,80.28,26782.0,377.2,60.56,8,56,7,91,69.23,16272.0,178.8,62.64,13,59,19
0.35,0.2,35%,20%,162,70.99,69964.0,431.9,61.73,22,108,32,71,77.46,39053.0,550.0,60.56,9,53,9,91,65.93,30911.0,339.7,62.64,13,55,23
0.35,0.25,35%,25%,162,67.28,74098.0,457.4,61.73,23,91,48,71,73.24,43728.0,615.9,60.56,9,45,17,91,62.64,30370.0,333.7,62.64,14,46,31
0.35,0.3,35%,30%,162,62.96,71907.0,443.9,61.73,25,73,64,71,66.2,44723.0,629.9,60.56,10,36,25,91,60.44,27184.0,298.7,62.64,15,37,39
0.35,0.35,35%,35%,162,62.96,92478.0,570.9,61.73,25,69,68,71,66.2,55238.0,778.0,60.56,10,34,27,91,60.44,37240.0,409.2,62.64,15,35,41
0.35,0.4,35%,40%,162,62.96,109176.0,673.9,61.73,25,64,73,71,66.2,65120.0,917.2,60.56,10,33,28,91,60.44,44056.0,484.1,62.64,15,31,45
0.4,0.1,40%,10%,162,80.25,27553.0,170.1,61.73,13,129,20,71,84.51,13076.0,184.2,60.56,6,59,6,91,76.92,14477.0,159.1,62.64,7,70,14
0.4,0.15,40%,15%,162,75.31,46440.0,286.7,61.73,14,117,31,71,80.28,25649.0,361.3,60.56,6,56,9,91,71.43,20791.0,228.5,62.64,8,61,22
0.4,0.2,40%,20%,162,72.22,73448.0,453.4,61.73,15,110,37,71,77.46,37516.0,528.4,60.56,7,53,11,91,68.13,35932.0,394.9,62.64,8,57,26
0.4,0.25,40%,25%,162,68.52,77403.0,477.8,61.73,16,93,53,71,73.24,42192.0,594.3,60.56,7,45,19,91,64.84,35211.0,386.9,62.64,9,48,34
0.4,0.3,40%,30%,162,64.2,74987.0,462.9,61.73,18,75,69,71,66.2,43113.0,607.2,60.56,8,36,27,91,62.64,31875.0,350.3,62.64,10,39,42
0.4,0.35,40%,35%,162,64.2,96060.0,593.0,61.73,18,71,73,71,66.2,53628.0,755.3,60.56,8,34,29,91,62.64,42433.0,466.3,62.64,10,37,44
0.4,0.4,40%,40%,162,64.2,113260.0,699.1,61.73,18,66,78,71,66.2,63509.0,894.5,60.56,8,33,30,91,62.64,49750.0,546.7,62.64,10,33,48
0.45,0.1,45%,10%,162,80.25,24459.0,151.0,61.73,12,129,21,71,84.51,11742.0,165.4,60.56,5,59,7,91,76.92,12716.0,139.7,62.64,7,70,14
0.45,0.15,45%,15%,162,75.31,43223.0,266.8,61.73,13,117,32,71,80.28,24315.0,342.5,60.56,5,56,10,91,71.43,18907.0,207.8,62.64,8,61,22
0.45,0.2,45%,20%,162,72.22,69827.0,431.0,61.73,14,110,38,71,77.46,35779.0,503.9,60.56,6,53,12,91,68.13,34048.0,374.2,62.64,8,57,26
0.45,0.25,45%,25%,162,68.52,73100.0,451.2,61.73,15,93,54,71,73.24,40455.0,569.8,60.56,6,45,20,91,64.84,32645.0,358.7,62.64,9,48,34
0.45,0.3,45%,30%,162,64.2,72455.0,447.3,61.73,16,75,71,71,66.2,41302.0,581.7,60.56,7,36,28,91,62.64,31154.0,342.3,62.64,9,39,43
