date,combo,p_down,gap_pct,nifty_spot_925,expiry,dte,atm,strike,opt_type,entry_premium,exit_premium,exit_reason,exit_time,lots,buy_value,sell_value,gross_pnl,charges_total,charges_brok,charges_stt,charges_stamp,charges_exch,charges_sebi,charges_gst,net_pnl,pct_return,capital_after,refilled
2024-01-04,Gap Up + Prev India DOWN + SGX UP,72.6,0.0041,21610.2,2024-01-04,0,21600,21550,PE,19.95,16.96,STOP_LOSS,09:28,10,14962.5,12720.0,-2242.5,72.9442,40.0,7.95,0.4489,14.6717,0.0277,9.8459,-2315.44,-1.1577,197684.56,0.0
2024-01-05,Gap Up + SGX UP + DAX UP,68.2,0.0022,21724.5,2024-01-11,6,21700,21650,PE,82.1,94.3,HARD_EXIT_1115,11:15,25,153937.5,176812.5,22875.0,369.5673,40.0,110.5078,4.6181,175.2975,0.3307,38.8131,22505.43,11.3845,220189.99,0.0
2024-01-09,Gap Up + Prev India DOWN + US UP + SGX UP,74.6,0.0065,21655.6,2024-01-11,2,21650,21600,PE,55.4,77.56,TAKE_PROFIT,09:44,25,103875.0,145425.0,41550.0,297.4133,40.0,90.8906,3.1162,132.129,0.2493,31.0281,41252.59,18.735,261442.58,0.0
2024-01-11,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.0032,21694.6,2024-01-11,0,21700,21650,PE,18.95,16.11,STOP_LOSS,09:26,10,14212.5,12082.5,-2130.0,71.6539,40.0,7.5516,0.4264,13.9363,0.0263,9.7133,-2201.65,-0.8421,259240.92,0.0
2024-01-12,Gap Up + SGX UP + VIX Falling,68.3,0.0058,21730.5,2024-01-18,6,21750,21700,PE,105.05,89.29,STOP_LOSS,10:04,25,196968.75,167418.75,-29550.0,386.0637,40.0,104.6367,5.9091,193.1254,0.3644,42.0282,-29936.06,-11.5476,229304.86,0.0
2024-01-19,Gap Up + Prev India DOWN + US UP + SGX UP,74.6,0.0071,21647.8,2024-01-25,6,21650,21600,PE,124.5,105.83,STOP_LOSS,10:31,24,224100.0,190494.0,-33606.0,432.7581,40.0,119.0588,6.723,219.7348,0.4146,46.8269,-34038.76,-14.8443,195266.1,0.0
2024-01-23,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.0044,21718.2,2024-01-25,2,21700,21650,PE,61.7,86.38,TAKE_PROFIT,10:00,25,115687.5,161962.5,46275.0,325.8671,40.0,101.2266,3.4706,147.1545,0.2777,33.7378,45949.13,23.5315,241215.23,0.0
2024-02-02,Gap Up + Prev India DOWN + US UP + SGX UP,74.6,0.0053,21946.0,2024-02-08,6,21950,21900,PE,128.7,109.39,STOP_LOSS,10:10,24,231660.0,196902.0,-34758.0,445.7419,40.0,123.0637,6.9498,227.1379,0.4286,48.162,-35203.74,-14.5943,206011.49,0.0
2024-02-07,Gap Up + DAX UP + VIX Falling,68.5,0.0053,22022.4,2024-02-08,1,22000,21950,PE,67.45,94.43,TAKE_PROFIT,09:45,25,126468.75,177056.25,50587.5,351.8369,40.0,110.6602,3.7941,160.8682,0.3035,36.2109,50235.66,24.3849,256247.15,0.0
2024-02-08,Gap Up + SGX UP + VIX Falling,68.3,0.0036,21991.8,2024-02-08,0,22000,21950,PE,36.95,51.73,TAKE_PROFIT,09:42,10,27712.5,38797.5,11085.0,113.9536,40.0,24.2484,0.8314,35.2503,0.0665,13.557,10971.05,4.2814,267218.2,0.0
2024-02-13,Gap Up + Prev India DOWN + SGX UP + DAX UP,74.1,0.0022,21627.0,2024-02-15,2,21650,21600,PE,117.6,164.64,TAKE_PROFIT,09:31,25,220500.0,308700.0,88200.0,578.3386,40.0,192.9375,6.615,280.476,0.5292,57.7809,87621.66,32.7903,354839.86,0.0
2024-02-15,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.003,21904.3,2024-02-15,0,21900,21850,PE,36.65,51.31,TAKE_PROFIT,09:26,10,27487.5,38482.5,10995.0,113.4117,40.0,24.0516,0.8246,34.9641,0.066,13.5054,10881.59,3.0666,365721.45,0.0
