Pair,Signal,Agrees,N,Ret30_Mean_%,WinRate30_%,Ret60_Mean_%,WinRate60_%
SP500+NASDAQ,Down/Down,True,283,0.01,49.47,-0.01,49.12
SP500+NASDAQ,Down/Up,False,44,-0.01,45.45,0.01,47.73
SP500+NASDAQ,Up/Down,False,38,-0.08,44.74,-0.07,47.37
SP500+NASDAQ,Up/Up,True,375,-0.06,42.4,-0.06,45.07
SP500+NIKKEI,Down/Down,True,166,0.01,50.6,-0.03,46.39
SP500+NIKKEI,Down/Up,False,160,-0.01,46.88,0.02,51.25
SP500+NIKKEI,Up/Down,False,167,-0.06,43.71,-0.06,46.71
SP500+NIKKEI,Up/Up,True,243,-0.06,41.98,-0.06,44.03
SP500+DAX,Down/Down,True,204,0.01,50.49,0.0,51.47
SP500+DAX,Down/Up,False,122,-0.01,45.9,-0.03,45.08
SP500+DAX,Up/Down,False,139,-0.03,48.2,-0.02,48.92
SP500+DAX,Up/Up,True,274,-0.07,39.78,-0.09,43.43
SP500+HANGSENG,Down/Down,True,185,0.01,51.35,-0.02,49.73
SP500+HANGSENG,Down/Up,False,141,-0.0,46.1,0.01,48.23
SP500+HANGSENG,Up/Down,False,181,-0.07,43.09,-0.1,41.44
SP500+HANGSENG,Up/Up,True,232,-0.05,42.24,-0.04,48.28
SP500+SGX_NIFTY,Down/Down,True,234,0.01,49.15,-0.01,49.15
SP500+SGX_NIFTY,Down/Up,False,91,-0.01,49.45,-0.01,49.45
SP500+SGX_NIFTY,Up/Down,False,98,-0.01,56.12,0.0,54.08
SP500+SGX_NIFTY,Up/Up,True,313,-0.07,38.34,-0.08,42.81
NIKKEI+HANGSENG,Down/Down,True,196,-0.0,50.0,-0.05,44.9
NIKKEI+HANGSENG,Down/Up,False,137,-0.05,43.07,-0.04,48.91
NIKKEI+HANGSENG,Up/Down,False,169,-0.06,43.79,-0.06,46.15
NIKKEI+HANGSENG,Up/Up,True,233,-0.02,44.21,-0.01,47.64
NIKKEI+SHANGHAI,Down/Down,True,181,-0.02,50.28,-0.06,46.96
NIKKEI+SHANGHAI,Down/Up,False,143,-0.02,43.36,-0.03,46.15
NIKKEI+SHANGHAI,Up/Down,False,160,-0.04,45.0,-0.01,51.25
NIKKEI+SHANGHAI,Up/Up,True,228,-0.03,43.86,-0.05,43.86
NIKKEI+SGX_NIFTY,Down/Down,True,204,0.0,52.45,-0.02,50.0
NIKKEI+SGX_NIFTY,Down/Up,False,127,-0.06,38.58,-0.09,41.73
NIKKEI+SGX_NIFTY,Up/Down,False,128,0.01,49.22,0.02,51.56
NIKKEI+SGX_NIFTY,Up/Up,True,273,-0.06,41.76,-0.06,45.05
DAX+FTSE,Down/Down,True,242,-0.01,49.59,-0.02,48.76
DAX+FTSE,Down/Up,False,101,0.0,49.5,0.02,54.46
DAX+FTSE,Up/Down,False,91,-0.05,41.76,-0.05,41.76
DAX+FTSE,Up/Up,True,305,-0.05,41.64,-0.07,44.59
DAX+CAC,Down/Down,True,273,-0.01,48.72,-0.01,50.55
DAX+CAC,Down/Up,False,70,0.01,52.86,0.01,50.0
DAX+CAC,Up/Down,False,75,-0.04,40.0,-0.03,41.33
DAX+CAC,Up/Up,True,321,-0.06,42.06,-0.08,44.55
