Date,Quarter,P(win),DTE,Lots,Entry,Exit,PnL(pts),Trade PnL,Capital,DD%,Reason
2025-07-02,2025Q3,0.611,1,25,56.4,78.96,22.56,41998.07,241998.07,0.0,Target Hit
2025-09-04,2025Q3,0.668,5,25,68.85,58.52,-10.33,-19638.04,222360.03,8.11,Stop Loss
2025-11-19,2025Q4,0.638,6,25,109.25,92.86,-16.39,-31130.86,191229.17,20.98,Stop Loss
2025-12-17,2025Q4,0.606,6,25,78.7,110.18,31.48,58622.35,249851.52,0.0,Target Hit
2026-01-20,2026Q1,0.587,0,10,29.75,41.65,11.9,8824.05,258675.57,0.0,Target Hit
2026-01-22,2026Q1,0.708,5,25,109.15,92.78,-16.37,-31093.05,227582.52,12.02,Stop Loss
2026-02-03,2026Q1,0.987,0,10,113.1,158.34,45.24,33678.47,261260.99,0.0,Target Hit
2026-03-05,2026Q1,0.75,5,16,211.4,191.1,-20.3,-24860.77,236400.22,9.52,11:15 exit
2026-03-10,2026Q1,0.915,0,10,65.6,91.84,26.24,19514.29,255914.51,2.05,Target Hit
2026-03-20,2026Q1,0.912,4,16,210.35,190.55,-19.8,-24259.12,231655.39,11.33,11:15 exit
2026-03-24,2026Q1,0.909,0,10,79.5,67.58,-11.92,-9089.78,222565.61,14.81,Stop Loss
