date,win,exit_reason,entry_prem,exit_prem,dte,Gap Up,Gap Up Strong,Gap Down,Prev India UP,Prev India DOWN,US UP,US DOWN,SGX UP,SGX DOWN,DAX UP,VIX Rising,VIX Falling,VIX Spike
2024-01-02,False,Stop Loss,65.2,58.68,2,False,False,False,True,False,False,True,False,True,True,False,True,False
2024-01-03,False,11:15 exit,53.2,55.9,1,False,False,False,False,True,False,True,False,True,True,True,False,True
2024-01-04,False,Stop Loss,19.95,17.95,0,True,False,False,False,True,False,True,False,False,False,True,False,True
2024-01-05,False,Stop Loss,82.1,73.89,6,True,False,False,True,False,False,True,True,False,True,False,False,False
2024-01-09,False,Stop Loss,55.4,49.86,2,True,True,False,False,True,True,False,True,False,True,False,True,False
2024-01-10,True,Target Hit,70.7,113.12,1,False,False,False,True,False,False,True,True,False,False,False,True,False
2024-01-11,False,Stop Loss,18.95,17.05,0,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-01-12,False,Stop Loss,105.05,94.55,6,True,True,False,True,False,False,True,True,False,False,False,True,False
2024-01-16,False,Stop Loss,82.55,74.3,2,False,False,False,True,False,False,False,True,False,False,False,False,False
2024-01-17,False,Stop Loss,71.7,64.53,1,False,False,True,False,True,False,True,True,False,False,True,False,True
2024-01-18,True,Target Hit,39.6,63.36,0,False,False,True,False,True,False,True,False,True,False,True,False,True
2024-01-19,False,Stop Loss,124.5,112.05,6,True,True,False,False,True,True,False,True,False,True,False,True,False
2024-01-23,False,Stop Loss,61.7,55.53,2,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-01-24,False,Stop Loss,98.7,88.83,1,False,False,True,False,True,True,False,False,True,False,False,True,False
2024-01-25,False,Stop Loss,63.25,56.93,0,False,False,False,True,False,True,False,False,True,True,True,False,False
2024-01-30,False,Stop Loss,135.75,122.17,2,True,False,False,True,False,True,False,True,False,False,False,False,False
2024-01-31,False,Stop Loss,121.0,108.9,1,False,False,True,False,True,False,True,False,True,True,False,True,False
2024-02-02,False,Stop Loss,128.7,115.83,6,True,True,False,False,True,True,False,True,False,False,False,True,False
2024-02-06,False,Stop Loss,129.85,116.86,2,True,False,False,False,True,False,True,False,True,False,False,True,False
2024-02-07,True,Target Hit,67.45,107.92,1,True,True,False,True,False,True,False,False,True,True,False,True,False
2024-02-09,False,11:15 exit,139.2,179.0,6,False,False,False,False,True,True,False,True,False,True,False,True,False
2024-02-13,False,Stop Loss,117.6,105.84,2,True,False,False,False,True,False,True,True,False,True,True,False,True
2024-02-14,False,Stop Loss,77.4,69.66,1,False,False,True,True,False,False,True,False,True,False,True,False,True
2024-02-15,True,Target Hit,36.65,58.64,0,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-02-16,False,Stop Loss,127.95,115.16,6,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-02-20,False,Stop Loss,101.65,91.49,2,False,False,False,True,False,False,False,True,False,False,False,False,False
2024-02-21,False,Stop Loss,78.45,70.61,1,True,False,False,True,False,False,True,False,True,False,True,False,True
2024-02-22,True,Target Hit,52.0,83.2,0,False,False,False,False,True,True,False,True,False,True,False,True,False
2024-02-23,False,Stop Loss,131.35,118.22,6,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-02-27,False,Stop Loss,116.6,104.94,2,False,False,False,False,True,False,True,True,False,True,False,True,False
2024-02-28,False,Stop Loss,74.5,67.05,1,False,False,False,True,False,True,False,False,True,True,False,True,False
2024-02-29,False,Stop Loss,62.8,56.52,0,False,False,False,False,True,False,True,False,True,True,True,False,False
2024-03-01,False,Stop Loss,116.3,104.67,6,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-03-05,False,11:15 exit,108.45,163.6,2,False,False,True,True,False,False,True,False,True,False,False,False,False
2024-03-06,False,Stop Loss,63.15,56.84,1,False,False,False,False,True,False,True,False,True,False,True,False,True
2024-03-07,False,Stop Loss,35.7,32.13,0,False,False,False,True,False,True,False,True,False,True,False,False,False
