Date,Quarter,P(win),DTE,Lots,Entry,Exit,PnL(pts),Trade PnL,Capital,DD%,Reason
2025-07-02,2025Q3,0.561,1,25,56.4,78.96,22.56,41998.07,241998.07,0.0,Target Hit
2025-07-08,2025Q3,0.526,2,25,85.25,86.45,1.2,1894.98,243893.05,0.0,11:15 exit
2025-07-29,2025Q3,0.532,2,25,65.35,55.55,-9.8,-18633.01,225260.04,7.64,Stop Loss
2025-07-30,2025Q3,0.525,1,25,58.15,49.43,-8.72,-16584.79,208675.25,14.44,Stop Loss
2025-08-21,2025Q3,0.541,0,10,20.75,17.64,-3.11,-2406.48,206268.77,15.43,Stop Loss
2025-08-22,2025Q3,0.525,6,25,88.75,124.25,35.5,66114.46,272383.23,0.0,Target Hit
2025-09-24,2025Q3,0.528,6,25,83.9,71.31,-12.59,-23924.08,248459.15,8.78,Stop Loss
2025-12-02,2025Q4,0.542,0,10,29.15,40.81,11.66,8645.14,257104.29,5.61,Target Hit
2025-12-09,2025Q4,0.531,0,10,39.15,54.81,15.66,11627.07,268731.36,1.34,Target Hit
2025-12-16,2025Q4,0.539,0,10,38.0,32.3,-5.7,-4371.23,264360.13,2.95,Stop Loss
2025-12-17,2025Q4,0.558,6,25,78.7,110.18,31.48,58622.35,322982.48,0.0,Target Hit
2026-01-01,2026Q1,0.53,5,25,57.55,48.92,-8.63,-16414.1,306568.38,5.08,Stop Loss
2026-01-08,2026Q1,0.535,5,25,60.95,85.33,24.38,45390.02,351958.4,0.0,Target Hit
2026-01-09,2026Q1,0.553,4,25,51.0,43.35,-7.65,-14555.47,337402.93,4.14,Stop Loss
2026-01-21,2026Q1,0.563,6,25,103.4,144.76,41.36,77035.8,414438.73,0.0,Target Hit
2026-01-27,2026Q1,0.537,0,10,68.95,58.61,-10.34,-7891.17,406547.56,1.9,Stop Loss
2026-02-18,2026Q1,0.534,6,25,107.55,91.42,-16.13,-30637.89,375909.67,9.3,Stop Loss
