Date,Quarter,P(win),DTE,Lots,Entry,Exit,PnL(pts),Trade PnL,Capital,DD%,Reason
2024-04-18,2024Q2,0.547,0,10,23.3,32.62,9.32,6900.71,206900.71,0.0,Target Hit
2024-04-26,2024Q2,0.547,6,25,106.3,148.82,42.52,79197.7,286098.41,0.0,Target Hit
2024-05-02,2024Q2,0.525,0,10,37.6,31.96,-5.64,-4325.72,281772.69,1.51,Stop Loss
2024-07-09,2024Q3,0.536,2,25,67.15,57.08,-10.07,-19145.07,262627.62,8.2,Stop Loss
2024-07-24,2024Q3,0.535,1,25,87.75,74.59,-13.16,-25005.27,237622.35,16.94,Stop Loss
2024-07-26,2024Q3,0.581,6,23,135.75,115.39,-20.36,-35571.07,202051.28,29.38,Stop Loss
2024-07-31,2024Q3,0.531,1,25,69.35,58.95,-10.4,-19770.91,182280.37,36.29,Stop Loss
2024-09-03,2024Q3,0.537,2,25,70.8,60.18,-10.62,-20188.09,162092.28,43.34,Stop Loss
2024-10-16,2024Q4,0.58,1,25,56.0,47.6,-8.4,-15977.84,146114.44,48.93,Stop Loss
2024-10-18,2024Q4,0.538,6,13,146.3,124.36,-21.94,-21684.11,124430.33,56.51,Stop Loss
2024-12-18,2024Q4,0.53,1,18,88.6,75.31,-13.29,-18194.48,106235.85,62.87,Stop Loss
2024-12-31,2024Q4,0.545,2,13,103.25,87.76,-15.49,-15323.14,90912.71,68.22,Stop Loss
2025-02-06,2025Q1,0.524,0,10,47.95,67.13,19.18,14251.17,105163.88,63.24,Target Hit
2025-02-12,2025Q1,0.522,1,21,66.5,93.1,26.6,41595.51,146759.39,48.7,Target Hit
2025-02-21,2025Q1,0.558,6,15,125.15,175.21,50.06,55931.16,202690.55,29.15,Target Hit
2025-02-25,2025Q1,0.525,2,25,50.85,43.22,-7.63,-14517.48,188173.07,34.23,Stop Loss
2025-02-28,2025Q1,0.524,6,25,81.7,114.38,32.68,60858.8,249031.87,12.96,Target Hit
2025-03-11,2025Q1,0.554,2,25,102.0,86.7,-15.3,-29063.73,219968.14,23.11,Stop Loss
2025-03-21,2025Q1,0.559,6,25,99.05,84.19,-14.86,-28229.21,191738.93,32.98,Stop Loss
2025-03-26,2025Q1,0.53,1,25,65.75,92.05,26.3,48968.34,240707.27,15.87,Target Hit
