Date,Quarter,P(win),DTE,Lots,Entry,Exit,PnL(pts),Trade PnL,Capital,DD%,Reason
2024-04-04,2024Q2,0.678,0,10,43.1,60.34,17.24,12804.94,212804.94,0.0,Target Hit
2024-06-19,2024Q2,0.629,1,25,56.55,79.17,22.62,42109.89,254914.83,0.0,Target Hit
2024-06-21,2024Q2,0.642,6,25,116.75,134.85,18.1,33430.12,288344.95,0.0,11:15 exit
2024-07-03,2024Q3,0.751,1,25,69.4,58.99,-10.41,-19789.82,268555.13,6.86,Stop Loss
2024-10-22,2024Q4,0.704,2,25,91.6,77.86,-13.74,-26105.18,242449.95,15.92,Stop Loss
2024-10-25,2024Q4,0.625,6,24,133.65,113.6,-20.05,-36551.08,205898.87,28.59,Stop Loss
2025-02-04,2025Q1,0.793,2,25,75.75,106.05,30.3,56423.18,262322.05,9.02,Target Hit
2025-02-12,2025Q1,0.633,1,25,66.5,93.1,26.6,49527.45,311849.5,0.0,Target Hit
2025-02-21,2025Q1,0.674,6,25,125.15,175.21,50.06,93250.06,405099.56,0.0,Target Hit
2025-03-05,2025Q1,0.674,1,25,63.65,54.1,-9.55,-18158.77,386940.79,4.48,Stop Loss
2025-06-20,2025Q2,0.649,6,25,136.0,115.6,-20.4,-38735.91,348204.88,14.04,Stop Loss
