SL_label,TP_label,all_n,all_win_pct,all_total_pnl,all_avg_pnl,all_pred_acc,all_sl_hits,all_tp_hits,all_time_exits
40%,40%,162,64.2,113260.0,699.1,61.73,18,66,78
45%,40%,162,64.2,110728.0,683.5,61.73,16,66,80
35%,40%,162,62.96,109176.0,673.9,61.73,25,64,73
50%,40%,162,64.2,108246.0,668.2,61.73,13,66,83
55%,40%,162,64.2,106508.0,657.5,61.73,9,66,87
30%,40%,162,61.11,105303.0,650.0,61.73,37,62,63
60%,40%,162,64.2,104899.0,647.5,61.73,8,66,88
40%,35%,162,64.2,96060.0,593.0,61.73,18,71,73
45%,35%,162,64.2,93528.0,577.3,61.73,16,71,75
35%,35%,162,62.96,92478.0,570.9,61.73,25,69,68
