Date,Signal,Combo,NIFTY Open,Gap%,Strike,ATM,Expiry,DTE,IV%,Entry (pts),Exit (pts),Exit Reason,Exit Time,P&L (pts),P&L (Rs),Actual,Actual Ret%,Correct?
2023-04-18,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,17767,+0.34%,17700 PE,17750,2023-04-20,2,14.7,50.05,70.07,Target Hit,09:45,20.02,1421.5,DOWN,-0.54%,YES
2023-04-24,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,17708,+0.47%,17650 PE,17700,2023-04-27,3,12.1,51.1,71.54,Target Hit,09:17,20.44,1453.0,DOWN,-0.42%,YES
2023-05-08,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,18121,+0.29%,18050 PE,18100,2023-05-11,3,15.2,68.0,40.8,Stop Loss,09:49,-27.2,-2120.0,UP,+0.40%,NO
2023-05-18,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,18288,+0.58%,18250 PE,18300,2023-05-18,0,21.3,25.0,35.0,Target Hit,09:17,10.0,670.0,DOWN,-0.36%,YES
2023-05-19,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,18186,+0.31%,18150 PE,18200,2023-05-25,6,11.9,87.0,121.8,Target Hit,09:37,34.8,2530.0,DOWN,-0.57%,YES
2023-05-31,BULLISH,Gap Down + US UP,18594,-0.21%,18650 CE,18600,2023-06-01,1,13.9,38.5,23.1,Stop Loss,09:55,-15.4,-1235.0,DOWN,-0.13%,NO
2023-06-02,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,18551,+0.34%,18500 PE,18550,2023-06-08,6,9.8,63.0,88.2,Target Hit,10:05,25.2,1810.0,DOWN,-0.32%,YES
2023-06-12,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,18595,+0.17%,18550 PE,18600,2023-06-15,3,11.4,54.95,59.43,10:15 exit,10:15,4.48,255.71,DOWN,-0.09%,YES
2023-06-16,BULLISH,Prev India DOWN + US UP + SGX DOWN,18723,+0.19%,18750 CE,18700,2023-06-22,6,8.5,80.0,104.15,10:15 exit,10:15,24.15,1730.91,UP,+0.22%,YES
2023-07-10,BEARISH,Gap Up + Prev India DOWN + SGX UP + DAX UP,19400,+0.35%,19350 PE,19400,2023-07-13,3,14.1,75.0,68.89,10:15 exit,10:15,-6.11,-538.33,UP,+0.07%,NO
