Feature,N,r_30min,p_30min,sig_30,r_60min,p_60min,sig_60
gap_pct,740,-0.2905139412756009,7.381955332751792e-16,***,-0.22015701005330673,1.4198274007591864e-09,***
DOW_ret,712,-0.13678891518714992,0.0002514375763448101,***,-0.09291131898714913,0.01313109399674819,*
prev_india_ret,740,-0.12675038856357979,0.000548046172828473,***,-0.08464699804742296,0.0212850949525839,*
VIX_US_ret,712,0.12042183974202719,0.0012848962611301227,**,0.10750349709535939,0.004080927374294609,**
SP500_ret,712,-0.10931073633909279,0.003495769275689723,**,-0.08444836063301148,0.024232016176051464,*
SP500_dir,712,-0.10479349417748655,0.0051255377426653245,**,-0.08298156160173491,0.026818219666002837,*
SGX_dir,715,-0.10431373227618711,0.005237761445127243,**,-0.09384771591008961,0.012052901929835692,*
FTSE_ret,718,-0.09930435864203682,0.0077479525195354995,**,-0.051761540915639496,0.16590275742360355,
DAX_ret,721,-0.09811753858036122,0.008379334707973312,**,-0.07490886166111047,0.04435221123217412,*
NASDAQ_ret,712,-0.09441173359832297,0.011721330249730044,*,-0.08484104883590754,0.023577379063242046,*
DAX_dir,721,-0.0842254990763435,0.023717675712084583,*,-0.09590296276816862,0.009977559704441856,**
DOW_dir,712,-0.08256538432480821,0.027593993305856608,*,-0.044176981863836076,0.23907876998429042,
NASDAQ_dir,712,-0.07881578348689523,0.035496906634063845,*,-0.058498781371517525,0.11886974602617932,
SGX_ret,715,-0.0781477060854488,0.036692518716944775,*,-0.07046188615570838,0.05967882443029082,
VIX_INDIA_ret,691,0.06396224507855293,0.0929486960152062,,0.02785665177782299,0.46472994880538543,
VIX_INDIA_spike,691,0.05440148588993806,0.15314391837545474,,0.046944908589035904,0.2177696498546081,
FTSE_dir,718,-0.044227061679930055,0.23657082059473727,,-0.04481306076580342,0.2304114302702474,
VIX_US_dir,712,0.042164955856245884,0.2611724669751152,,0.03793304618440213,0.31212878592506793,
HANGSENG_ret,695,-0.04120148780294681,0.2780571290466625,,0.023752339359839968,0.5318788721229477,
VIX_US_spike,740,0.03622005422859666,0.3251404772517791,,0.03385624632737327,0.35773153726245677,
NIKKEI_dir,690,-0.03313548433057107,0.38481513579405235,,0.012183322464297971,0.7493767264853308,
HANGSENG_dir,695,-0.020216239906754634,0.5946894423136417,,0.05461414457563238,0.1503584518497706,
NIKKEI_ret,690,-0.01957284832399993,0.6077739027826954,,0.01401486455783077,0.7132528441895877,
