S1,S2,S3,N,P_down,edge
Gap Up (>0.15%),Europe (DAX) UP,VIX Rising >3%,15,86.66666666666667,32.13351375732972
Gap Up (>0.15%),Prev India UP,VIX Rising >3%,22,72.72727272727273,18.194119817935785
Gap Up Strong (>0.5%),Prev India DOWN,SGX UP,18,72.22222222222221,17.689069312885266
Gap Up (>0.15%),Prev India DOWN,SGX UP,71,71.83098591549296,17.29783300615601
Prev India UP,SGX UP,VIX Rising >3%,24,70.83333333333334,16.300180423996395
Gap Up Strong (>0.5%),SGX UP,Europe (DAX) UP,33,69.6969696969697,15.163816787632754
Gap Up Strong (>0.5%),US (SP500) UP,Europe (DAX) UP,38,68.42105263157895,13.887899722241997
Gap Up (>0.15%),SGX UP,VIX Falling >3%,125,68.0,13.466847090663052
Gap Up Strong (>0.5%),Prev India UP,Europe (DAX) UP,25,68.0,13.466847090663052
Gap Up (>0.15%),SGX UP,Europe (DAX) UP,153,67.97385620915033,13.440703299813379
Gap Up (>0.15%),Europe (DAX) UP,VIX Falling >3%,111,67.56756756756756,13.034414658230617
Gap Up Strong (>0.5%),US (SP500) UP,SGX UP,40,67.5,12.966847090663052
Gap Up (>0.15%),US (SP500) UP,SGX UP,183,67.21311475409836,12.679961844761408
Prev India UP,Europe (DAX) UP,VIX Rising >3%,36,66.66666666666666,12.133513757329709
Gap Up Strong (>0.5%),Europe (DAX) UP,VIX Falling >3%,30,66.66666666666666,12.133513757329709
Gap Up (>0.15%),Prev India UP,Europe (DAX) UP,126,66.66666666666666,12.133513757329709
Gap Up Strong (>0.5%),Prev India DOWN,US (SP500) UP,21,66.66666666666666,12.133513757329709
Gap Up (>0.15%),Gap Up Strong (>0.5%),SGX UP,42,66.66666666666666,12.133513757329709
Prev India UP,SGX UP,VIX Falling >3%,109,66.05504587155964,11.521892962222694
Prev India UP,Europe (DAX) UP,VIX Falling >3%,94,65.95744680851064,11.42429389917369
SGX UP,Europe (DAX) UP,VIX Falling >3%,135,65.92592592592592,11.392773016588976
Gap Up (>0.15%),Gap Up Strong (>0.5%),Europe (DAX) UP,41,65.85365853658537,11.320505627248423
Gap Up (>0.15%),Prev India DOWN,US (SP500) UP,82,65.85365853658537,11.320505627248423
Gap Up (>0.15%),Prev India UP,VIX Falling >3%,93,65.59139784946237,11.05824494012542
Gap Up (>0.15%),US (SP500) UP,Europe (DAX) UP,162,65.4320987654321,10.898945856095153
Gap Up (>0.15%),Prev India UP,US (SP500) DOWN,46,65.21739130434783,10.68423839501088
Prev India UP,US (SP500) UP,VIX Falling >3%,112,65.17857142857143,10.645418519234482
SGX UP,Europe (DAX) UP,VIX Rising >3%,20,65.0,10.466847090663052
US (SP500) UP,SGX UP,VIX Rising >3%,17,64.70588235294117,10.172729443604226
Gap Up Strong (>0.5%),SGX UP,VIX Falling >3%,34,64.70588235294117,10.172729443604226
Gap Up (>0.15%),US (SP500) DOWN,Europe (DAX) UP,31,64.51612903225806,9.982976122921116
Gap Up (>0.15%),US (SP500) UP,VIX Falling >3%,132,64.39393939393939,9.860786484602443
Gap Up (>0.15%),Prev India DOWN,VIX Falling >3%,50,64.0,9.466847090663052
Gap Up (>0.15%),Prev India DOWN,Europe (DAX) UP,69,63.76811594202898,9.23496303269203
Gap Up Strong (>0.5%),Prev India UP,VIX Falling >3%,22,63.63636363636363,9.103210727026685
US (SP500) DOWN,Europe (DAX) UP,VIX Rising >3%,55,63.63636363636363,9.103210727026685
US (SP500) UP,SGX UP,VIX Falling >3%,162,63.580246913580254,9.047094004243306
Gap Up (>0.15%),US (SP500) DOWN,VIX Rising >3%,30,63.33333333333333,8.80018042399638
US (SP500) DOWN,SGX UP,VIX Rising >3%,30,63.33333333333333,8.80018042399638
US (SP500) UP,SGX UP,Europe (DAX) UP,212,63.20754716981132,8.674394260474372
Prev India DOWN,US (SP500) UP,SGX UP,114,63.1578947368421,8.624741827505154
Prev India UP,SGX DOWN,VIX Spike >10%,19,63.1578947368421,8.624741827505154
Prev India UP,US (SP500) DOWN,Europe (DAX) UP,65,63.07692307692307,8.543770167586125
Gap Up (>0.15%),Prev India UP,SGX UP,138,63.04347826086957,8.510325351532622
SGX DOWN,Europe (DAX) UP,VIX Rising >3%,43,62.7906976744186,8.257544765081654
Gap Up (>0.15%),Gap Up Strong (>0.5%),US (SP500) UP,51,62.745098039215684,8.211945129878735
US (SP500) UP,Europe (DAX) UP,VIX Falling >3%,147,62.585034013605444,8.051881104268496
Gap Up Strong (>0.5%),Prev India DOWN,Europe (DAX) UP,16,62.5,7.966847090663052
Gap Up Strong (>0.5%),Prev India UP,SGX UP,24,62.5,7.966847090663052
Prev India UP,SGX UP,Europe (DAX) UP,157,62.42038216560509,7.887229256268142
Prev India UP,US (SP500) UP,Europe (DAX) UP,158,61.39240506329114,6.859252153954195
Prev India UP,US (SP500) UP,SGX UP,185,61.08108108108108,6.547928171744132
Prev India DOWN,SGX UP,Europe (DAX) UP,95,61.05263157894737,6.519478669610422
Gap Up (>0.15%),Prev India UP,US (SP500) UP,146,60.95890410958904,6.425751200252094
Gap Up Strong (>0.5%),US (SP500) UP,VIX Falling >3%,38,60.526315789473685,5.993162880136737
Gap Up (>0.15%),Gap Up Strong (>0.5%),VIX Falling >3%,38,60.526315789473685,5.993162880136737
Prev India DOWN,Europe (DAX) UP,VIX Falling >3%,63,60.317460317460316,5.784307408123368
Prev India UP,SGX DOWN,Europe (DAX) UP,65,60.0,5.466847090663052
Gap Up Strong (>0.5%),Prev India UP,US (SP500) UP,30,60.0,5.466847090663052
Prev India DOWN,US (SP500) UP,Europe (DAX) UP,102,59.80392156862745,5.270768659290503
Prev India DOWN,SGX UP,VIX Falling >3%,67,59.70149253731343,5.168339627976479
