N,Freq_pct,P_Down,P_Up,Edge_pp,CI_lo,CI_hi,p_val,Sig,Direction,Verdict,Level,Signal
57,23.3,33.3,66.7,21.2,53.7,79.6,0.001,**,UP,RELIABLE,2,Prev India DOWN + US DOWN
45,18.4,33.3,66.7,21.2,52.1,81.2,0.0034,**,UP,RELIABLE,3,Prev India DOWN + US DOWN + SGX DOWN
56,22.9,35.7,64.3,18.8,51.2,77.3,0.0036,**,UP,RELIABLE,2,Prev India DOWN + SGX DOWN
62,25.3,69.4,30.6,14.9,57.0,81.8,0.0122,*,DOWN,RELIABLE,3,Gap Up + US UP + DAX UP
74,30.2,68.9,31.1,14.4,57.6,80.3,0.0081,**,DOWN,RELIABLE,3,US UP + SGX UP + DAX UP
90,36.7,68.9,31.1,14.4,58.6,79.2,0.0038,**,DOWN,RELIABLE,2,US UP + DAX UP
48,19.6,68.8,31.2,14.2,54.7,82.8,0.0317,*,DOWN,RELIABLE,2,Prev India DOWN + US UP
51,20.8,41.2,58.8,13.3,45.2,72.5,0.0386,*,UP,RELIABLE,2,US DOWN + VIX Rising
55,22.4,67.3,32.7,12.8,54.1,80.4,0.0374,*,DOWN,RELIABLE,4,Gap Up + US UP + SGX UP + DAX UP
76,31.0,42.1,57.9,12.4,46.7,69.1,0.0201,*,UP,RELIABLE,2,US DOWN + SGX DOWN
104,42.4,66.3,33.7,11.8,56.8,75.9,0.0094,**,DOWN,RELIABLE,2,US UP + SGX UP
86,35.1,66.3,33.7,11.8,55.8,76.8,0.0177,*,DOWN,RELIABLE,2,SGX UP + DAX UP
67,27.3,65.7,34.3,11.2,53.7,77.6,0.0422,*,DOWN,RELIABLE,3,Gap Up + US UP + SGX UP
81,33.1,65.4,34.6,10.9,54.6,76.3,0.0302,*,DOWN,RELIABLE,2,Gap Up + US UP
75,30.6,65.3,34.7,10.8,54.1,76.6,0.0375,*,DOWN,RELIABLE,3,US UP + DAX UP + VIX Falling
