date,win,exit_reason,entry_prem,exit_prem,dte,Gap Up,Gap Up Strong,Gap Down,Prev India UP,Prev India DOWN,US UP,US DOWN,SGX UP,SGX DOWN,DAX UP,VIX Rising,VIX Falling,VIX Spike
2024-01-02,False,Stop Loss,65.2,55.42,2,False,False,False,True,False,False,True,False,True,True,False,True,False
2024-01-03,True,Target Hit,53.2,74.48,1,False,False,False,False,True,False,True,False,True,True,True,False,True
2024-01-04,False,Stop Loss,19.95,16.96,0,True,False,False,False,True,False,True,False,False,False,True,False,True
2024-01-05,False,11:15 exit,82.1,94.3,6,True,False,False,True,False,False,True,True,False,True,False,False,False
2024-01-09,True,Target Hit,55.4,77.56,2,True,True,False,False,True,True,False,True,False,True,False,True,False
2024-01-10,True,Target Hit,70.7,98.98,1,False,False,False,True,False,False,True,True,False,False,False,True,False
2024-01-11,False,Stop Loss,18.95,16.11,0,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-01-12,False,Stop Loss,105.05,89.29,6,True,True,False,True,False,False,True,True,False,False,False,True,False
2024-01-16,False,Stop Loss,82.55,70.17,2,False,False,False,True,False,False,False,True,False,False,False,False,False
2024-01-17,False,Stop Loss,71.7,60.95,1,False,False,True,False,True,False,True,True,False,False,True,False,True
2024-01-18,True,Target Hit,39.6,55.44,0,False,False,True,False,True,False,True,False,True,False,True,False,True
2024-01-19,False,Stop Loss,124.5,105.83,6,True,True,False,False,True,True,False,True,False,True,False,True,False
2024-01-23,True,Target Hit,61.7,86.38,2,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-01-24,False,Stop Loss,98.7,83.89,1,False,False,True,False,True,True,False,False,True,False,False,True,False
2024-01-25,False,Stop Loss,63.25,53.76,0,False,False,False,True,False,True,False,False,True,True,True,False,False
2024-01-30,False,11:15 exit,135.75,157.7,2,True,False,False,True,False,True,False,True,False,False,False,False,False
2024-01-31,False,Stop Loss,121.0,102.85,1,False,False,True,False,True,False,True,False,True,True,False,True,False
2024-02-02,False,Stop Loss,128.7,109.39,6,True,True,False,False,True,True,False,True,False,False,False,True,False
2024-02-06,False,Stop Loss,129.85,110.37,2,True,False,False,False,True,False,True,False,True,False,False,True,False
2024-02-07,True,Target Hit,67.45,94.43,1,True,True,False,True,False,True,False,False,True,True,False,True,False
2024-02-09,True,Target Hit,139.2,194.88,6,False,False,False,False,True,True,False,True,False,True,False,True,False
2024-02-13,True,Target Hit,117.6,164.64,2,True,False,False,False,True,False,True,True,False,True,True,False,True
2024-02-14,False,Stop Loss,77.4,65.79,1,False,False,True,True,False,False,True,False,True,False,True,False,True
2024-02-15,True,Target Hit,36.65,51.31,0,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-02-16,False,Stop Loss,127.95,108.76,6,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-02-20,False,Stop Loss,101.65,86.4,2,False,False,False,True,False,False,False,True,False,False,False,False,False
2024-02-21,False,Stop Loss,78.45,66.68,1,True,False,False,True,False,False,True,False,True,False,True,False,True
2024-02-22,True,Target Hit,52.0,72.8,0,False,False,False,False,True,True,False,True,False,True,False,True,False
2024-02-23,False,Stop Loss,131.35,111.65,6,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-02-27,False,Stop Loss,116.6,99.11,2,False,False,False,False,True,False,True,True,False,True,False,True,False
2024-02-28,False,Stop Loss,74.5,63.32,1,False,False,False,True,False,True,False,False,True,True,False,True,False
2024-02-29,False,Stop Loss,62.8,53.38,0,False,False,False,False,True,False,True,False,True,True,True,False,False
2024-03-01,False,Stop Loss,116.3,98.85,6,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-03-05,True,Target Hit,108.45,151.83,2,False,False,True,True,False,False,True,False,True,False,False,False,False
2024-03-06,False,Stop Loss,63.15,53.68,1,False,False,False,False,True,False,True,False,True,False,True,False,True
2024-03-07,False,Stop Loss,35.7,30.35,0,False,False,False,True,False,True,False,True,False,True,False,False,False
2024-03-12,False,Stop Loss,76.75,65.24,2,False,False,False,False,True,False,True,False,True,False,True,False,False
2024-03-13,True,Target Hit,76.1,106.54,1,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-03-14,False,Stop Loss,59.85,50.87,0,False,False,False,False,True,False,True,False,True,False,False,True,False
2024-03-15,True,Target Hit,117.85,164.99,6,False,False,True,True,False,False,True,False,True,False,True,False,False
2024-03-19,False,Stop Loss,101.8,86.53,2,False,False,True,True,False,True,False,False,True,False,False,True,False
2024-03-20,True,Target Hit,73.45,102.83,1,False,False,False,False,True,True,False,True,False,True,False,True,False
2024-03-21,False,Stop Loss,35.5,30.18,0,True,True,False,True,False,True,False,True,False,True,False,True,False
2024-03-22,False,Stop Loss,86.8,73.78,6,False,False,True,True,False,True,False,True,False,True,False,True,False
2024-03-26,False,Stop Loss,73.0,62.05,2,False,False,True,True,False,False,True,False,True,True,False,False,False
2024-03-27,False,Stop Loss,50.0,42.5,1,True,False,False,False,True,False,True,True,False,True,False,False,False
2024-03-28,False,Stop Loss,24.15,20.53,0,True,False,False,True,False,True,False,False,True,True,False,True,False
2024-04-02,False,Stop Loss,92.9,78.97,2,False,False,False,True,False,False,True,True,False,False,True,False,False
2024-04-03,False,Stop Loss,58.45,49.68,1,False,False,True,False,True,False,True,False,True,False,True,False,True
2024-04-04,True,Target Hit,43.1,60.34,0,True,True,False,False,True,True,False,True,False,True,False,True,False
2024-04-12,False,11:15 exit,102.3,112.15,6,False,False,True,True,False,True,False,True,False,False,False,True,False
2024-04-16,False,Stop Loss,75.0,63.75,2,False,False,True,False,True,False,True,False,True,True,True,False,True
2024-04-18,True,Target Hit,23.3,32.62,0,True,False,False,False,True,False,True,False,True,True,False,True,False
2024-04-19,False,11:15 exit,146.7,137.15,6,False,False,True,False,True,False,True,False,True,True,False,True,False
2024-04-23,False,Stop Loss,90.35,76.8,2,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-04-24,False,Stop Loss,50.2,42.67,1,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-04-25,False,Stop Loss,38.15,32.43,0,False,False,True,True,False,True,False,False,True,False,False,False,False
2024-04-26,True,Target Hit,106.3,148.82,6,True,False,False,True,False,False,True,True,False,False,False,True,False
2024-04-30,False,Stop Loss,74.75,63.54,2,True,False,False,True,False,True,False,True,False,False,False,True,False
2024-05-02,False,Stop Loss,37.6,31.96,0,False,False,True,False,True,False,True,False,True,False,False,True,False
2024-05-03,True,Target Hit,108.0,151.2,6,True,True,False,True,False,True,False,False,True,False,False,True,False
2024-05-07,True,Target Hit,105.25,147.35,2,True,False,False,False,True,True,False,True,False,True,False,False,False
2024-05-08,False,Stop Loss,80.7,68.59,1,False,False,True,False,True,True,False,False,True,True,False,True,False
