symbol,instrument_token,name
ADANIENT,6401,ADANI ENTERPRISES
ADANIPORTS,3861249,ADANI PORT & SEZ
APOLLOHOSP,40193,APOLLO HOSPITALS ENTER. L
ASIANPAINT,60417,ASIAN PAINTS
AXISBANK,1510401,AXIS BANK
BAJAJ-AUTO,4267265,BAJAJ AUTO
BAJAJFINSV,4268801,BAJAJ FINSERV
BAJFINANCE,81153,BAJAJ FINANCE
BEL,98049,BHARAT ELECTRONICS
BHARTIARTL,2714625,BHARTI AIRTEL
CIPLA,177665,CIPLA
COALINDIA,5215745,COAL INDIA
DRREDDY,225537,DR. REDDY S LABORATORIES
EICHERMOT,232961,EICHER MOTORS
ETERNAL,1304833,ETERNAL - ZOMATO
GRASIM,315393,GRASIM INDUSTRIES
HCLTECH,1850625,HCL TECHNOLOGIES
HDFCBANK,341249,HDFC BANK
HDFCLIFE,119553,HDFC LIFE INS CO
HINDALCO,348929,HINDALCO  INDUSTRIES 
HINDUNILVR,356865,HINDUSTAN UNILEVER
ICICIBANK,1270529,ICICI BANK
INDIGO,2865921,INTERGLOBE AVIATION
INFY,408065,INFOSYS
ITC,424961,ITC
JIOFIN,4644609,JIO FIN SERVICES
JSWSTEEL,3001089,JSW STEEL
KOTAKBANK,492033,KOTAK MAHINDRA BANK
LT,2939649,LARSEN & TOUBRO
M&M,519937,MAHINDRA & MAHINDRA
MARUTI,2815745,MARUTI SUZUKI INDIA
MAXHEALTH,5728513,MAX HEALTHCARE INS
NESTLEIND,4598529,NESTLE INDIA
NTPC,2977281,NTPC
ONGC,633601,OIL AND NATURAL GAS CORP.
POWERGRID,3834113,POWER GRID CORP.
RELIANCE,738561,RELIANCE INDUSTRIES
SBILIFE,5582849,SBI LIFE INSURANCE CO
SBIN,779521,STATE BANK OF INDIA
SHRIRAMFIN,1102337,SHRIRAM FINANCE
SUNPHARMA,857857,SUN PHARMACEUTICAL IND L
TATACONSUM,878593,TATA CONSUMER PRODUCT
TATASTEEL,895745,TATA STEEL
TCS,2953217,TATA CONSULTANCY SERV LT
TECHM,3465729,TECH MAHINDRA
TITAN,897537,TITAN COMPANY
TMPV,884737,TATA MOTORS PASS VEH
TRENT,502785,TRENT
ULTRACEMCO,2952193,ULTRATECH CEMENT
WIPRO,969473,WIPRO
