Feature,N,r_30min,p_30min,sig_30,r_60min,p_60min,sig_60
gap_pct,740,-0.29142922490733597,5.93734361279495e-16,***,-0.22148876914711568,1.1237178426215107e-09,***
prev_india_ret,740,-0.1366211847195723,0.00019322933982147885,***,-0.09381598042622238,0.010668003077297405,*
DOW_ret,712,-0.13054159669186044,0.000479206910716989,***,-0.08605703354571044,0.021646451921112544,*
VIX_US_ret,712,0.11511010103930003,0.002095479338452344,**,0.10210571709778529,0.006393955725834935,**
SP500_dir,712,-0.10442743009816907,0.005283764041317016,**,-0.08238700752575764,0.027932363686832905,*
SGX_dir,715,-0.10392179244242583,0.005411039349112964,**,-0.0932455076917047,0.012616644508117957,*
SP500_ret,712,-0.1017684508963487,0.006571578877693883,**,-0.07668922583030283,0.040781789573362606,*
FTSE_ret,718,-0.09858863590146191,0.008203585285060199,**,-0.05074497339147549,0.17438625154977408,
DAX_ret,721,-0.09789953583421643,0.008525835083753288,**,-0.07441979527728955,0.04576196142266727,*
NASDAQ_ret,712,-0.08638232721199113,0.021153789702309148,*,-0.07700371278091399,0.039960611904952,*
DOW_dir,712,-0.08210387854200137,0.028476771367478216,*,-0.04344357708356129,0.2469746235140332,
DAX_dir,721,-0.08149610301506703,0.028660005047358883,*,-0.09307875464150045,0.012405581216767372,*
NASDAQ_dir,712,-0.07634283467418156,0.04170274641603405,*,-0.056370443397834556,0.1329155987931004,
SGX_ret,715,-0.07204545940690776,0.05415551837338077,,-0.06433058193883136,0.0856257279178773,
VIX_INDIA_ret,693,0.06312864295729907,0.09681165227841772,,0.027164638184702043,0.4752599500055566,
VIX_INDIA_spike,693,0.05428389871791367,0.15343849164300818,,0.04676233347287115,0.2188979708786232,
FTSE_dir,718,-0.041499919342939284,0.2667608233928899,,-0.04195275616241312,0.2615727224530314,
VIX_US_dir,712,0.03947504389729313,0.29285239112856953,,0.035097481863733786,0.3497057173215899,
HANGSENG_ret,697,-0.038984677929079364,0.30405877683429433,,0.025421869489922713,0.5028193767961782,
VIX_US_spike,740,0.03489473411492702,0.343168454221487,,0.03247328543380558,0.3777183108113977,
NIKKEI_dir,692,-0.03300407461765858,0.38601421269066355,,0.012448227313690233,0.7437568377063217,
NIKKEI_ret,692,-0.019689859123153228,0.6051051630582487,,0.01391319161251637,0.7148464747051008,
HANGSENG_dir,697,-0.017900188236981848,0.637092318476968,,0.05640519705118341,0.13684279723336853,
