N,Freq_pct,P_Down,P_Up,Edge_pp,CI_lo,CI_hi,p_val,Sig,Direction,Verdict,Level,Signal
311,42.1,61.1,38.9,6.4,55.6,66.3,0.0129,*,DOWN,RELIABLE,1,Gap Up
65,8.8,56.9,43.1,2.3,44.8,68.2,0.4065,ns,DOWN,WEAK/SPARSE,1,Gap Up Strong
160,21.7,42.5,57.5,-12.2,35.1,50.2,0.0013,**,UP,RELIABLE,1,Gap Down
405,54.8,57.3,42.7,2.6,52.4,62.0,0.1569,ns,DOWN,WEAK/SPARSE,1,Prev India UP
333,45.1,51.7,48.3,-3.0,46.3,57.0,0.1467,ns,UP,WEAK/SPARSE,1,Prev India DOWN
393,53.2,58.0,42.0,3.3,53.1,62.8,0.0997,ns,DOWN,SUGGESTIVE,1,US UP
318,43.0,51.3,48.7,-3.4,45.8,56.7,0.122,ns,UP,WEAK/SPARSE,1,US DOWN
389,52.6,59.4,40.6,4.7,54.4,64.1,0.0343,*,DOWN,RELIABLE,1,SGX UP
321,43.4,49.2,50.8,-5.4,43.8,54.7,0.0286,*,UP,RELIABLE,1,SGX DOWN
384,52.0,59.6,40.4,5.0,54.7,64.4,0.0281,*,DOWN,RELIABLE,1,DAX UP
197,26.7,53.3,46.7,-1.4,46.3,60.1,0.3759,ns,UP,WEAK/SPARSE,1,VIX Rising
211,28.6,62.1,37.9,7.4,55.4,68.4,0.0176,*,DOWN,RELIABLE,1,VIX Falling
63,8.5,55.6,44.4,0.9,43.3,67.2,0.4956,ns,DOWN,WEAK/SPARSE,1,VIX Spike
65,8.8,56.9,43.1,2.3,44.8,68.2,0.4065,ns,DOWN,WEAK/SPARSE,2,Gap Up + Gap Up Strong
196,26.5,60.7,39.3,6.0,53.7,67.3,0.0512,ns,DOWN,SUGGESTIVE,2,Gap Up + Prev India UP
115,15.6,61.7,38.3,7.1,52.6,70.1,0.0758,ns,DOWN,SUGGESTIVE,2,Gap Up + Prev India DOWN
229,31.0,62.9,37.1,8.2,56.5,68.9,0.0072,**,DOWN,RELIABLE,2,Gap Up + US UP
74,10.0,58.1,41.9,3.4,46.7,68.7,0.3176,ns,DOWN,WEAK/SPARSE,2,Gap Up + US DOWN
210,28.4,66.2,33.8,11.5,59.6,72.2,0.0005,***,DOWN,RELIABLE,2,Gap Up + SGX UP
91,12.3,50.5,49.5,-4.1,40.5,60.6,0.2465,ns,UP,WEAK/SPARSE,2,Gap Up + SGX DOWN
195,26.4,66.2,33.8,11.5,59.3,72.4,0.0007,***,DOWN,RELIABLE,2,Gap Up + DAX UP
37,5.0,64.9,35.1,10.2,48.8,78.2,0.1396,ns,DOWN,WEAK/SPARSE,2,Gap Up + VIX Rising
143,19.4,65.7,34.3,11.1,57.6,73.0,0.0047,**,DOWN,RELIABLE,2,Gap Up + VIX Falling
37,5.0,56.8,43.2,2.1,40.9,71.3,0.4663,ns,DOWN,WEAK/SPARSE,2,Gap Up Strong + Prev India UP
28,3.8,57.1,42.9,2.5,39.1,73.5,0.4733,ns,DOWN,WEAK/SPARSE,2,Gap Up Strong + Prev India DOWN
52,7.0,63.5,36.5,8.8,49.9,75.2,0.1279,ns,DOWN,WEAK/SPARSE,2,Gap Up Strong + US UP
12,1.6,33.3,66.7,-21.3,13.8,60.9,0.1163,ns,UP,WEAK/SPARSE,2,Gap Up Strong + US DOWN
