Label,N,Freq_pct,P_Down,P_Up,Edge,CI_lo,CI_hi,p_val,Sig,Verdict,S1,S2,S3
Gap Up (>0.15%)+DAX UP+VIX Rising >3%,15,2.0,86.7,13.3,32.1,62.1,96.3,0.0097,**,WEAK/SPARSE,Gap Up (>0.15%),DAX UP,VIX Rising >3%
US DOWN+DAX UP+VIX Falling >3%,10,1.4,80.0,20.0,25.5,49.0,94.3,0.0945,ns,WEAK/SPARSE,US DOWN,DAX UP,VIX Falling >3%
Gap Up (>0.15%)+SGX UP+VIX Rising >3%,12,1.6,75.0,25.0,20.5,46.8,91.1,0.1275,ns,WEAK/SPARSE,Gap Up (>0.15%),SGX UP,VIX Rising >3%
Gap Up (>0.15%)+Prev India UP+VIX Rising >3%,22,3.0,72.7,27.3,18.2,51.8,86.8,0.0648,ns,SUGGESTIVE,Gap Up (>0.15%),Prev India UP,VIX Rising >3%
Gap Up (>0.15%)+US DOWN+VIX Falling >3%,11,1.5,72.7,27.3,18.2,43.4,90.3,0.1827,ns,WEAK/SPARSE,Gap Up (>0.15%),US DOWN,VIX Falling >3%
Gap Up Strong (>0.5%)+Prev India DOWN+SGX UP,18,2.4,72.2,27.8,17.7,49.1,87.5,0.1005,ns,WEAK/SPARSE,Gap Up Strong (>0.5%),Prev India DOWN,SGX UP
Gap Up (>0.15%)+Prev India DOWN+SGX UP,71,9.6,71.8,28.2,17.3,60.5,81.0,0.0021,**,RELIABLE,Gap Up (>0.15%),Prev India DOWN,SGX UP
Prev India UP+SGX UP+VIX Rising >3%,24,3.2,70.8,29.2,16.3,50.8,85.1,0.0793,ns,SUGGESTIVE,Prev India UP,SGX UP,VIX Rising >3%
Gap Up Strong (>0.5%)+SGX UP+DAX UP,33,4.5,69.7,30.3,15.2,52.7,82.6,0.056,ns,SUGGESTIVE,Gap Up Strong (>0.5%),SGX UP,DAX UP
Gap Up Strong (>0.5%)+US UP+DAX UP,38,5.1,68.4,31.6,13.9,52.5,80.9,0.0584,ns,SUGGESTIVE,Gap Up Strong (>0.5%),US UP,DAX UP
Gap Up (>0.15%)+SGX UP+DAX UP,153,20.7,68.0,32.0,13.4,60.2,74.8,0.0005,***,RELIABLE,Gap Up (>0.15%),SGX UP,DAX UP
Gap Up Strong (>0.5%)+Prev India UP+DAX UP,25,3.4,68.0,32.0,13.5,48.4,82.8,0.1241,ns,WEAK/SPARSE,Gap Up Strong (>0.5%),Prev India UP,DAX UP
Gap Up (>0.15%)+SGX UP+VIX Falling >3%,125,16.9,68.0,32.0,13.5,59.4,75.5,0.0015,**,RELIABLE,Gap Up (>0.15%),SGX UP,VIX Falling >3%
Gap Up (>0.15%)+DAX UP+VIX Falling >3%,111,15.0,67.6,32.4,13.0,58.4,75.6,0.0035,**,RELIABLE,Gap Up (>0.15%),DAX UP,VIX Falling >3%
Gap Up Strong (>0.5%)+US UP+SGX UP,40,5.4,67.5,32.5,13.0,52.0,79.9,0.0671,ns,SUGGESTIVE,Gap Up Strong (>0.5%),US UP,SGX UP
Gap Up (>0.15%)+US UP+SGX UP,183,24.8,67.2,32.8,12.7,60.1,73.6,0.0003,***,RELIABLE,Gap Up (>0.15%),US UP,SGX UP
Gap Up Strong (>0.5%)+DAX UP+VIX Falling >3%,30,4.1,66.7,33.3,12.1,48.8,80.8,0.1242,ns,WEAK/SPARSE,Gap Up Strong (>0.5%),DAX UP,VIX Falling >3%
Gap Up Strong (>0.5%)+Prev India DOWN+US UP,21,2.8,66.7,33.3,12.1,45.4,82.8,0.1853,ns,WEAK/SPARSE,Gap Up Strong (>0.5%),Prev India DOWN,US UP
Prev India UP+DAX UP+VIX Rising >3%,36,4.9,66.7,33.3,12.1,50.3,79.8,0.0968,ns,SUGGESTIVE,Prev India UP,DAX UP,VIX Rising >3%
Gap Up (>0.15%)+Gap Up Strong (>0.5%)+SGX UP,42,5.7,66.7,33.3,12.1,51.6,79.0,0.076,ns,SUGGESTIVE,Gap Up (>0.15%),Gap Up Strong (>0.5%),SGX UP
Gap Up (>0.15%)+Prev India UP+DAX UP,126,17.1,66.7,33.3,12.1,58.1,74.3,0.0038,**,RELIABLE,Gap Up (>0.15%),Prev India UP,DAX UP
Prev India UP+US DOWN+VIX Falling >3%,12,1.6,66.7,33.3,12.1,39.1,86.2,0.293,ns,WEAK/SPARSE,Prev India UP,US DOWN,VIX Falling >3%
Prev India UP+SGX UP+VIX Falling >3%,109,14.7,66.1,33.9,11.5,56.8,74.3,0.0096,**,RELIABLE,Prev India UP,SGX UP,VIX Falling >3%
Prev India UP+DAX UP+VIX Falling >3%,94,12.7,66.0,34.0,11.4,55.9,74.7,0.0162,*,RELIABLE,Prev India UP,DAX UP,VIX Falling >3%
Gap Up (>0.15%)+Gap Up Strong (>0.5%)+DAX UP,41,5.5,65.9,34.1,11.3,50.5,78.4,0.0961,ns,SUGGESTIVE,Gap Up (>0.15%),Gap Up Strong (>0.5%),DAX UP
Gap Up (>0.15%)+Prev India DOWN+US UP,82,11.1,65.9,34.1,11.3,55.1,75.2,0.0248,*,RELIABLE,Gap Up (>0.15%),Prev India DOWN,US UP
SGX UP+DAX UP+VIX Falling >3%,135,18.3,65.9,34.1,11.4,57.6,73.4,0.0047,**,RELIABLE,SGX UP,DAX UP,VIX Falling >3%
Gap Up (>0.15%)+Prev India UP+VIX Falling >3%,93,12.6,65.6,34.4,11.1,55.5,74.5,0.02,*,RELIABLE,Gap Up (>0.15%),Prev India UP,VIX Falling >3%
Gap Up (>0.15%)+US UP+DAX UP,162,21.9,65.4,34.6,10.9,57.8,72.3,0.0032,**,RELIABLE,Gap Up (>0.15%),US UP,DAX UP
Prev India UP+US UP+VIX Falling >3%,112,15.2,65.2,34.8,10.6,56.0,73.4,0.0145,*,RELIABLE,Prev India UP,US UP,VIX Falling >3%
Gap Up (>0.15%)+Prev India UP+US DOWN,46,6.2,65.2,34.8,10.7,50.8,77.3,0.0947,ns,SUGGESTIVE,Gap Up (>0.15%),Prev India UP,US DOWN
SGX UP+DAX UP+VIX Rising >3%,20,2.7,65.0,35.0,10.5,43.3,81.9,0.2387,ns,WEAK/SPARSE,SGX UP,DAX UP,VIX Rising >3%
Gap Up Strong (>0.5%)+SGX UP+VIX Falling >3%,34,4.6,64.7,35.3,10.2,47.9,78.5,0.154,ns,WEAK/SPARSE,Gap Up Strong (>0.5%),SGX UP,VIX Falling >3%
US UP+SGX UP+VIX Rising >3%,17,2.3,64.7,35.3,10.2,41.3,82.7,0.277,ns,WEAK/SPARSE,US UP,SGX UP,VIX Rising >3%
Gap Up (>0.15%)+US DOWN+DAX UP,31,4.2,64.5,35.5,10.0,46.9,78.9,0.175,ns,WEAK/SPARSE,Gap Up (>0.15%),US DOWN,DAX UP
Gap Up (>0.15%)+US UP+VIX Falling >3%,132,17.9,64.4,35.6,9.9,55.9,72.0,0.0138,*,RELIABLE,Gap Up (>0.15%),US UP,VIX Falling >3%
US DOWN+SGX UP+VIX Falling >3%,14,1.9,64.3,35.7,9.8,38.8,83.7,0.3244,ns,WEAK/SPARSE,US DOWN,SGX UP,VIX Falling >3%
Gap Up (>0.15%)+Prev India DOWN+VIX Falling >3%,50,6.8,64.0,36.0,9.5,50.1,75.9,0.1141,ns,WEAK/SPARSE,Gap Up (>0.15%),Prev India DOWN,VIX Falling >3%
Gap Up (>0.15%)+Prev India DOWN+DAX UP,69,9.3,63.8,36.2,9.2,52.0,74.1,0.077,ns,SUGGESTIVE,Gap Up (>0.15%),Prev India DOWN,DAX UP
US UP+SGX UP+VIX Falling >3%,162,21.9,63.6,36.4,9.0,55.9,70.6,0.0123,*,RELIABLE,US UP,SGX UP,VIX Falling >3%
US DOWN+DAX UP+VIX Rising >3%,55,7.4,63.6,36.4,9.1,50.4,75.1,0.1106,ns,WEAK/SPARSE,US DOWN,DAX UP,VIX Rising >3%
Gap Up Strong (>0.5%)+Prev India UP+VIX Falling >3%,22,3.0,63.6,36.4,9.1,43.0,80.3,0.2618,ns,WEAK/SPARSE,Gap Up Strong (>0.5%),Prev India UP,VIX Falling >3%
US DOWN+SGX UP+VIX Rising >3%,30,4.1,63.3,36.7,8.8,45.5,78.1,0.2172,ns,WEAK/SPARSE,US DOWN,SGX UP,VIX Rising >3%
Gap Up (>0.15%)+US DOWN+VIX Rising >3%,30,4.1,63.3,36.7,8.8,45.5,78.1,0.2172,ns,WEAK/SPARSE,Gap Up (>0.15%),US DOWN,VIX Rising >3%
Prev India UP+SGX DOWN+VIX Spike >10%,19,2.6,63.2,36.8,8.6,41.0,80.9,0.3024,ns,WEAK/SPARSE,Prev India UP,SGX DOWN,VIX Spike >10%
Prev India DOWN+US UP+SGX UP,114,15.4,63.2,36.8,8.6,54.0,71.4,0.0389,*,RELIABLE,Prev India DOWN,US UP,SGX UP
US UP+SGX UP+DAX UP,212,28.7,63.2,36.8,8.7,56.5,69.4,0.0065,**,RELIABLE,US UP,SGX UP,DAX UP
Prev India UP+US DOWN+DAX UP,65,8.8,63.1,36.9,8.5,50.9,73.8,0.1035,ns,WEAK/SPARSE,Prev India UP,US DOWN,DAX UP
Gap Up (>0.15%)+Prev India UP+SGX UP,138,18.7,63.0,37.0,8.5,54.7,70.6,0.0266,*,RELIABLE,Gap Up (>0.15%),Prev India UP,SGX UP
SGX DOWN+DAX UP+VIX Rising >3%,43,5.8,62.8,37.2,8.3,47.9,75.6,0.1753,ns,WEAK/SPARSE,SGX DOWN,DAX UP,VIX Rising >3%
