N,Freq,P_Down,P_Up,Edge,CI_lo,CI_hi,p_val,Sig,Verdict,Level,Signal
44,5.9,27.3,72.7,-27.2,16.3,41.8,0.0004,***,RELIABLE,3,HangSeng UP + Oil UP + Gap Down
40,5.4,27.5,72.5,-27.0,16.1,42.8,0.0007,***,RELIABLE,3,HangSeng UP + Gap Down + Prev India DOWN
46,6.2,32.6,67.4,-21.9,20.9,47.0,0.0044,**,RELIABLE,4,China DOWN + Oil UP + Prev India DOWN + SGX DOWN
55,7.4,32.7,67.3,-21.8,21.8,45.9,0.0016,**,RELIABLE,3,Oil UP + Gap Down + Prev India DOWN
49,6.6,32.7,67.3,-21.8,21.2,46.6,0.0024,**,RELIABLE,4,China DOWN + DXY DOWN + SGX DOWN + US DOWN
58,7.8,32.8,67.2,-21.7,22.1,45.6,0.0013,**,RELIABLE,3,China DOWN + HangSeng UP + Oil UP
42,5.7,33.3,66.7,-21.2,21.0,48.4,0.0077,**,RELIABLE,3,China DOWN + HangSeng UP + SGX DOWN
50,6.8,34.0,66.0,-20.5,22.4,47.8,0.0042,**,RELIABLE,4,DXY DOWN + HangSeng UP + Oil UP + VIX Falling
41,5.5,34.1,65.9,-20.4,21.6,49.5,0.0113,*,RELIABLE,3,China DOWN + Oil UP + Gap Down
41,5.5,34.1,65.9,-20.4,21.6,49.5,0.0113,*,RELIABLE,4,China DOWN + Gap Down + Prev India DOWN + SGX DOWN
49,6.6,34.7,65.3,-19.8,22.9,48.7,0.0061,**,RELIABLE,4,DXY DOWN + Oil UP + SGX DOWN + US DOWN
49,6.6,34.7,65.3,-19.8,22.9,48.7,0.0061,**,RELIABLE,3,Oil UP + US DOWN + VIX Falling
40,5.4,35.0,65.0,-19.5,22.1,50.5,0.0165,*,RELIABLE,4,China DOWN + HangSeng UP + DAX UP + VIX Falling
54,7.3,35.2,64.8,-19.3,23.8,48.5,0.0058,**,RELIABLE,3,Oil UP + SGX DOWN + VIX Falling
45,6.1,35.6,64.4,-18.9,23.2,50.2,0.0156,*,RELIABLE,4,Oil UP + Gap Down + Prev India DOWN + SGX DOWN
45,6.1,35.6,64.4,-18.9,23.2,50.2,0.0156,*,RELIABLE,4,China DOWN + Oil UP + Prev India DOWN + US DOWN
59,8.0,35.6,64.4,-18.9,24.6,48.3,0.0039,**,RELIABLE,3,China DOWN + HangSeng UP + VIX Falling
42,5.7,35.7,64.3,-18.8,23.0,50.8,0.0191,*,RELIABLE,4,Oil UP + Gap Down + US DOWN + VIX Spike
42,5.7,35.7,64.3,-18.8,23.0,50.8,0.0191,*,RELIABLE,3,DXY UP + SGX DOWN + US UP
42,5.7,35.7,64.3,-18.8,23.0,50.8,0.0191,*,RELIABLE,3,Oil UP + SGX DOWN + US UP
67,9.1,35.8,64.2,-18.7,25.4,47.8,0.0029,**,RELIABLE,3,China DOWN + DXY DOWN + SGX DOWN
86,11.6,36.0,64.0,-18.5,26.7,46.6,0.0007,***,RELIABLE,3,China DOWN + Oil UP + SGX DOWN
44,5.9,36.4,63.6,-18.1,23.8,51.1,0.0221,*,RELIABLE,4,China DOWN + HangSeng UP + DAX UP + US UP
44,5.9,36.4,63.6,-18.1,23.8,51.1,0.0221,*,RELIABLE,4,Oil UP + Gap Down + Prev India DOWN + US DOWN
41,5.5,36.6,63.4,-17.9,23.6,51.9,0.0271,*,RELIABLE,4,China DOWN + Gap Down + US DOWN + VIX Rising
41,5.5,36.6,63.4,-17.9,23.6,51.9,0.0271,*,RELIABLE,4,China DOWN + DXY DOWN + HangSeng DOWN + US DOWN
41,5.5,36.6,63.4,-17.9,23.6,51.9,0.0271,*,RELIABLE,4,China DOWN + HangSeng UP + SGX UP + VIX Falling
41,5.5,36.6,63.4,-17.9,23.6,51.9,0.0271,*,RELIABLE,3,China DOWN + HangSeng UP + Prev India DOWN
49,6.6,36.7,63.3,-17.8,24.7,50.7,0.0144,*,RELIABLE,4,China DOWN + HangSeng UP + US UP + VIX Falling
54,7.3,72.2,27.8,17.7,59.1,82.4,0.0092,**,RELIABLE,4,China DOWN + HangSeng DOWN + DAX UP + Gap Up
46,6.2,37.0,63.0,-17.5,24.5,51.4,0.018,*,RELIABLE,4,Oil UP + Gap Down + SGX DOWN + VIX Rising
89,12.0,37.1,62.9,-17.4,27.8,47.5,0.0013,**,RELIABLE,2,Oil UP + Gap Down
70,9.5,37.1,62.9,-17.4,26.8,48.9,0.0038,**,RELIABLE,3,HangSeng UP + Oil UP + Prev India DOWN
43,5.8,37.2,62.8,-17.3,24.4,52.1,0.0309,*,RELIABLE,3,Oil UP + Gap Down + VIX Spike
59,8.0,37.3,62.7,-17.2,26.1,50.0,0.0087,**,RELIABLE,3,China DOWN + DXY DOWN + US DOWN
48,6.5,37.5,62.5,-17.0,25.2,51.6,0.0202,*,RELIABLE,3,China DOWN + Gap Down + Prev India DOWN
48,6.5,37.5,62.5,-17.0,25.2,51.6,0.0202,*,RELIABLE,4,DXY DOWN + Prev India DOWN + SGX DOWN + US DOWN
40,5.4,37.5,62.5,-17.0,24.2,53.0,0.0381,*,RELIABLE,4,DXY UP + HangSeng UP + Oil UP + Prev India DOWN
49,6.6,71.4,28.6,16.9,57.6,82.2,0.0209,*,RELIABLE,4,HangSeng DOWN + Oil UP + Gap Up + SGX UP
77,10.4,37.7,62.3,-16.8,27.7,48.8,0.0039,**,RELIABLE,2,HangSeng UP + Gap Down
66,8.9,71.2,28.8,16.7,59.4,80.7,0.0064,**,RELIABLE,4,China DOWN + HangSeng DOWN + DAX UP + US UP
45,6.1,37.8,62.2,-16.7,25.1,52.4,0.0349,*,RELIABLE,4,DXY DOWN + HangSeng DOWN + SGX DOWN + US DOWN
66,8.9,37.9,62.1,-16.6,27.1,49.9,0.0089,**,RELIABLE,3,Oil UP + Gap Down + SGX DOWN
58,7.8,37.9,62.1,-16.6,26.6,50.8,0.0122,*,RELIABLE,3,China DOWN + DXY DOWN + HangSeng UP
50,6.8,38.0,62.0,-16.5,25.9,51.8,0.0226,*,RELIABLE,4,Oil UP + Gap Down + US DOWN + VIX Rising
63,8.5,38.1,61.9,-16.4,27.1,50.4,0.0109,*,RELIABLE,3,China DOWN + HangSeng UP + DAX UP
42,5.7,38.1,61.9,-16.4,25.0,53.2,0.0428,*,RELIABLE,3,China DOWN + DXY UP + Gap Down
55,7.4,38.2,61.8,-16.3,26.5,51.4,0.0205,*,RELIABLE,4,DXY DOWN + SGX DOWN + US DOWN + VIX Rising
